ta,tr,rh,vel_r,vel,clo_d,clo,activity_60,age,gender,thermal_sensation,pmv,thermal_comfort,ppd
fan,window,door,heater,t_out,rh_out,t_out_isd,rh_out_isd,set,pmv,ppd,pmv_ce,ppd_ce,t_mot_isd
,,,,20.015,75.35499999999999,18.8625,70.61615748886048,,-0.84,19.9,,,18.3
,,,,20.015,75.35499999999999,18.8625,70.61615748886048,24.4,-0.25,6.3,-0.25,6.3,18.3
,,,,20.015,75.35499999999999,18.8625,70.61615748886048,28.8,0.88,21.2,0.74,16.6,18.3
,,,,20.015,75.35499999999999,18.8625,70.61615748886048,25.4,0.05,5,0.05,5,18.3
,,,,20.015,75.35499999999999,18.8625,70.61615748886048,25.5,0.23,6.1,0.23,6.1,18.3
,,,,20.015,75.35499999999999,18.8625,70.61615748886048,25.8,0.35,7.6,0.21,5.9,18.3
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,24.1,-0.42,8.7,-0.45,9.1,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,22,-1.02,27,-1.02,26.9,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,21.8,-1.1,30.6,-1.05,28.3,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,19.1,-1.41,45.9,-1.48,50,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,22.6,-0.93,23.1,-0.84,19.7,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,25.1,-0.27,6.5,-0.29,6.7,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,23.5,-0.67,14.4,-0.64,13.5,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,23,-0.77,17.6,-0.77,17.6,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,,,,,,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,24.7,-0.3,6.9,-0.32,7.2,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,19.5,,,-2.04,78.4,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,23.3,-0.29,6.8,-0.55,11.3,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,21.9,-1.27,38.9,-1.13,31.9,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,23.1,-0.79,18.3,-0.75,16.7,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,24,-0.46,9.4,-0.51,10.4,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,22,-1.04,27.8,-1.06,28.7,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,22.5,-0.87,21.1,-0.89,21.8,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,22,-1.05,28.1,-1.06,28.6,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,23.3,-0.63,13.5,-0.66,14.3,14.5
,,,,12.960000000000004,84.23500000000001,13.995833333333334,65.9044845472603,24,-0.15,5.5,-0.51,10.4,14.5
